model_name,tokenizer,task_name,subtask_name,score,vocab_size,length_reduction
BERT,3-mer overlap,splicing,donor,0.95,64,1.0
BERT,3-mer non-overlap,splicing,donor,0.925,64,3.0
BERT,4-mer overlap,splicing,donor,0.942,256,1.0
BERT,4-mer non-overlap,splicing,donor,0.912,256,4.0
BERT,5-mer overlap,splicing,donor,0.945,1024,1.0
BERT,5-mer non-overlap,splicing,donor,0.927,1024,5.0
BERT,6-mer overlap,splicing,donor,0.945,4096,1.0
BERT,6-mer non-overlap,splicing,donor,0.914,4096,6.0
BERT,7-mer overlap,splicing,donor,0.929,16384,1.0
BERT,7-mer non-overlap,splicing,donor,0.899,16384,7.1
BERT,8-mer overlap,splicing,donor,0.931,65536,1.0
BERT,8-mer non-overlap,splicing,donor,0.891,65536,8.1
DNABERT,3-mer overlap,splicing,donor,0.94,64,1.0
DNABERT,3-mer non-overlap,splicing,donor,0.929,64,3.0
DNABERT,4-mer overlap,splicing,donor,0.946,256,1.0
DNABERT,4-mer non-overlap,splicing,donor,0.927,256,4.0
DNABERT,5-mer overlap,splicing,donor,0.948,1024,1.0
DNABERT,5-mer non-overlap,splicing,donor,0.916,1024,5.0
DNABERT,6-mer overlap,splicing,donor,0.948,4096,1.0
DNABERT,6-mer non-overlap,splicing,donor,0.923,4096,6.0
AgroNT,6-mer non-overlap,splicing,donor,,4096,6.0
AgroNT IA3,6-mer non-overlap,splicing,donor,0.964,4096,6.0
AgroNT LoRA,6-mer non-overlap,splicing,donor,0.964,4096,6.0
BERT,3-mer overlap,splicing,acceptor,0.935,64,1.0
BERT,3-mer non-overlap,splicing,acceptor,0.913,64,3.0
BERT,4-mer overlap,splicing,acceptor,0.932,256,1.0
BERT,4-mer non-overlap,splicing,acceptor,0.898,256,4.0
BERT,5-mer overlap,splicing,acceptor,0.935,1024,1.0
BERT,5-mer non-overlap,splicing,acceptor,0.909,1024,5.0
BERT,6-mer overlap,splicing,acceptor,0.943,4096,1.0
BERT,6-mer non-overlap,splicing,acceptor,0.9,4096,6.0
BERT,7-mer overlap,splicing,acceptor,0.926,16384,1.0
BERT,7-mer non-overlap,splicing,acceptor,0.878,16384,7.1
BERT,8-mer overlap,splicing,acceptor,0.924,65536,1.0
BERT,8-mer non-overlap,splicing,acceptor,0.867,65536,8.1
DNABERT,3-mer overlap,splicing,acceptor,0.946,64,1.0
DNABERT,3-mer non-overlap,splicing,acceptor,0.914,64,3.0
DNABERT,4-mer overlap,splicing,acceptor,0.938,256,1.0
DNABERT,4-mer non-overlap,splicing,acceptor,0.904,256,4.0
DNABERT,5-mer overlap,splicing,acceptor,0.942,1024,1.0
DNABERT,5-mer non-overlap,splicing,acceptor,0.9,1024,5.0
DNABERT,6-mer overlap,splicing,acceptor,0.945,4096,1.0
DNABERT,6-mer non-overlap,splicing,acceptor,0.907,4096,6.0
AgroNT,6-mer non-overlap,splicing,acceptor,,4096,6.0
AgroNT IA3,6-mer non-overlap,splicing,acceptor,0.959,4096,6.0
AgroNT LoRA,6-mer non-overlap,splicing,acceptor,0.958,4096,6.0
BERT,3-mer overlap,poly_a,A.thaliana,0.713,64,1.0
BERT,3-mer non-overlap,poly_a,A.thaliana,0.695,64,3.0
BERT,4-mer overlap,poly_a,A.thaliana,0.704,256,1.0
BERT,4-mer non-overlap,poly_a,A.thaliana,0.681,256,4.0
BERT,5-mer overlap,poly_a,A.thaliana,0.709,1024,1.0
BERT,5-mer non-overlap,poly_a,A.thaliana,0.692,1024,5.0
BERT,6-mer overlap,poly_a,A.thaliana,0.702,4096,1.0
BERT,6-mer non-overlap,poly_a,A.thaliana,0.675,4096,6.0
BERT,7-mer overlap,poly_a,A.thaliana,0.685,16384,1.0
BERT,7-mer non-overlap,poly_a,A.thaliana,0.627,16384,7.0
BERT,8-mer overlap,poly_a,A.thaliana,0.675,65536,1.0
BERT,8-mer non-overlap,poly_a,A.thaliana,0.647,65536,8.0
DNABERT,3-mer overlap,poly_a,A.thaliana,0.69,64,1.0
DNABERT,3-mer non-overlap,poly_a,A.thaliana,0.688,64,3.0
DNABERT,4-mer overlap,poly_a,A.thaliana,0.669,256,1.0
DNABERT,4-mer non-overlap,poly_a,A.thaliana,0.682,256,4.0
DNABERT,5-mer overlap,poly_a,A.thaliana,0.684,1024,1.0
DNABERT,5-mer non-overlap,poly_a,A.thaliana,0.682,1024,5.0
DNABERT,6-mer overlap,poly_a,A.thaliana,0.7,4096,1.0
DNABERT,6-mer non-overlap,poly_a,A.thaliana,0.686,4096,6.0
AgroNT,6-mer non-overlap,poly_a,A.thaliana,0.698,4096,6.0
AgroNT IA3,6-mer non-overlap,poly_a,A.thaliana,0.648,4096,6.0
AgroNT LoRA,6-mer non-overlap,poly_a,A.thaliana,0.69,4096,6.0
BERT,3-mer overlap,poly_a,O.sativa Indica,0.846,64,1.0
BERT,3-mer non-overlap,poly_a,O.sativa Indica,0.832,64,3.0
BERT,4-mer overlap,poly_a,O.sativa Indica,0.848,256,1.0
